order_number,buyer_id,shop_id,sale_channel,order_datetime,sku,qty,sale_price,discount,payment_type
ORD0000034,C003521,DE_ONLINE,web,2024-07-29 10:00:00,SKU0047,1,22.83,10,paypal
ORD0000035,C004587,AT_ONLINE,google,2024-04-15 12:00:00,SKU0031,2,342.62,5,apple_pay
ORD0000036,C003373,CH_ONLINE,mobile,2024-07-01 03:00:00,SKU0021,1,17.27,15,credit_card
ORD0000037,C003771,AT_ONLINE,app,2024-06-04 08:00:00,SKU0029,1,430.0,5,apple_pay
ORD0000038,C002287,AT_ONLINE,google,2024-09-29 20:00:00,SKU0087,5,167.49,10,credit_card
ORD0000039,C002175,DE_ONLINE,web,2024-10-23 15:00:00,SKU0045,3,62.09,15,sepa
ORD0000040,C001558,AT_ONLINE,web,2024-10-24 16:00:00,SKU0001,5,492.2,20,paypal
ORD0000041,C002705,CH_ONLINE,app,2024-03-26 01:00:00,SKU0093,3,185.29,20,klarna
ORD0000042,C004542,DE_ONLINE,mobile,2024-10-14 00:00:00,SKU0086,4,335.11,5,sepa
ORD0000043,C002490,AT_ONLINE,mobile,2024-10-20 11:00:00,SKU0075,5,286.71,10,apple_pay
ORD0000044,C001391,CH_ONLINE,web,2024-07-12 17:00:00,SKU0066,5,223.68,10,credit_card
ORD0000045,C001841,DE_ONLINE,mobile,2024-01-17 16:00:00,SKU0006,2,410.12,15,sepa
ORD0000046,C004716,DE_ONLINE,instagram,2024-12-03 11:00:00,SKU0052,2,425.62,5,credit_card
ORD0000047,C003483,DE_ONLINE,mobile,2024-12-19 14:00:00,SKU0060,1,446.87,20,paypal
ORD0000048,C003807,CH_ONLINE,google,2024-08-04 14:00:00,SKU0097,4,459.15,20,sepa
ORD0000049,C001304,CH_ONLINE,instagram,2024-11-03 05:00:00,SKU0034,2,216.24,10,sepa
ORD0000050,C002341,DE_ONLINE,app,2024-08-17 06:00:00,SKU0041,5,244.88,0,paypal
ORD0000051,C001753,DE_ONLINE,instagram,2024-10-05 06:00:00,SKU0043,5,79.66,15,apple_pay
ORD0000052,C004785,CH_ONLINE,web,2024-09-16 16:00:00,SKU0062,1,35.82,10,klarna
ORD0000053,C003433,CH_ONLINE,google,2024-05-30 13:00:00,SKU0063,2,377.97,10,apple_pay
ORD0000054,C003313,CH_ONLINE,mobile,2024-11-15 01:00:00,SKU0017,5,245.39,20,credit_card
ORD0000055,C000688,CH_ONLINE,instagram,2024-04-02 15:00:00,SKU0060,2,453.93,0,klarna
ORD0000056,C003106,AT_ONLINE,instagram,2024-06-21 05:00:00,SKU0011,4,192.66,0,sepa
ORD0000057,C000563,CH_ONLINE,web,2024-01-22 04:00:00,SKU0032,2,30.78,0,sepa
ORD0000058,C004621,DE_ONLINE,instagram,2024-06-23 22:00:00,SKU0099,3,80.43,5,sepa
ORD0000059,C001342,AT_ONLINE,web,2024-01-18 12:00:00,SKU0040,5,305.59,15,apple_pay
ORD0000060,C001990,DE_ONLINE,app,2024-03-23 15:00:00,SKU0073,1,471.03,10,sepa
ORD0000061,C002796,DE_ONLINE,instagram,2024-11-30 15:00:00,SKU0014,4,217.05,10,apple_pay
ORD0000062,C002213,CH_ONLINE,google,2024-11-26 01:00:00,SKU0060,4,355.12,20,klarna
ORD0000063,C002285,AT_ONLINE,mobile,2024-11-13 05:00:00,SKU0073,5,164.54,15,klarna
ORD0000064,C001738,AT_ONLINE,app,2024-08-20 08:00:00,SKU0036,5,19.21,10,sepa
ORD0000065,C003330,AT_ONLINE,google,2024-06-13 01:00:00,SKU0089,4,10.02,15,apple_pay
ORD0000066,C001994,AT_ONLINE,google,2024-09-08 22:00:00,SKU0061,5,397.5,20,klarna
ORD0000067,C003718,AT_ONLINE,app,2024-06-20 14:00:00,SKU0030,1,215.62,5,klarna
ORD0000068,C001517,DE_ONLINE,mobile,2024-11-26 13:00:00,SKU0036,5,64.18,20,sepa
ORD0000069,C001864,AT_ONLINE,mobile,2024-07-25 08:00:00,SKU0002,5,145.08,5,klarna
ORD0000070,C001035,CH_ONLINE,instagram,2024-03-11 00:00:00,SKU0002,5,27.53,10,apple_pay
ORD0000071,C002069,AT_ONLINE,web,2024-02-14 14:00:00,SKU0052,4,241.96,0,sepa
ORD0000072,C004611,AT_ONLINE,web,2024-06-18 10:00:00,SKU0016,5,316.58,15,sepa
ORD0000073,C003117,AT_ONLINE,instagram,2024-07-21 23:00:00,SKU0076,4,300.08,10,sepa
ORD0000074,C001703,CH_ONLINE,mobile,2024-06-29 15:00:00,SKU0085,1,312.41,5,paypal
ORD0000075,,AT_ONLINE,google,2024-11-16 19:00:00,SKU0038,1,91.04,5,klarna
ORD0000076,C001913,AT_ONLINE,google,2024-05-15 01:00:00,SKU0055,1,354.94,20,paypal
ORD0000077,C000585,DE_ONLINE,mobile,2024-07-28 23:00:00,SKU0077,5,325.58,10,apple_pay
ORD0000078,C002231,CH_ONLINE,google,2024-12-03 02:00:00,SKU0057,1,66.56,20,credit_card
ORD0000079,C000212,DE_ONLINE,mobile,2024-01-15 03:00:00,SKU0098,3,445.26,20,credit_card
ORD0000080,C003623,AT_ONLINE,mobile,2024-10-24 13:00:00,SKU0082,4,382.74,0,apple_pay
ORD0000081,C001318,AT_ONLINE,instagram,2024-12-04 05:00:00,SKU0037,4,177.24,20,credit_card
ORD0000082,C003312,CH_ONLINE,web,2024-11-11 09:00:00,SKU0053,1,230.14,5,sepa
ORD0000083,C000423,DE_ONLINE,app,2024-03-30 10:00:00,SKU0037,4,184.08,15,credit_card
ORD0000084,C001298,AT_ONLINE,google,2024-01-10 08:00:00,SKU0071,4,19.29,0,paypal
ORD0000085,C000963,CH_ONLINE,mobile,2024-12-06 05:00:00,SKU0092,3,496.17,20,klarna
ORD0000086,C003742,CH_ONLINE,mobile,2024-09-18 20:00:00,SKU0025,5,210.67,20,paypal
ORD0000087,C003400,AT_ONLINE,google,2024-07-01 09:00:00,SKU0001,3,432.69,10,sepa
ORD0000088,C003659,CH_ONLINE,instagram,2024-08-23 14:00:00,SKU0043,5,292.06,20,apple_pay
ORD0000089,C001957,CH_ONLINE,instagram,2024-06-08 10:00:00,SKU0053,1,230.4,10,apple_pay
ORD0000090,C001247,AT_ONLINE,web,2024-03-27 04:00:00,SKU0065,5,354.09,10,credit_card
ORD0000091,C003744,DE_ONLINE,mobile,2024-10-06 21:00:00,SKU0084,2,437.72,0,apple_pay
ORD0000092,C003257,CH_ONLINE,web,2024-08-12 07:00:00,SKU0087,5,391.86,15,klarna
ORD0000093,C004433,DE_ONLINE,google,2024-02-16 17:00:00,SKU0031,3,315.27,5,credit_card
ORD0000094,C000824,AT_ONLINE,mobile,2024-07-23 10:00:00,SKU0004,1,219.82,10,credit_card
ORD0000095,C004352,AT_ONLINE,google,2024-05-02 22:00:00,SKU0022,2,150.22,0,sepa
ORD0000096,C004778,DE_ONLINE,mobile,2024-11-10 19:00:00,SKU0082,3,436.07,15,klarna
ORD0000097,C002357,CH_ONLINE,google,2024-04-17 20:00:00,SKU0010,4,335.09,10,sepa
ORD0000098,C003743,AT_ONLINE,mobile,2024-09-19 14:00:00,SKU0062,1,153.08,5,apple_pay
ORD0000099,C002419,DE_ONLINE,instagram,2024-07-06 09:00:00,SKU0002,5,288.1,0,sepa
ORD0000100,C001886,CH_ONLINE,app,2024-05-29 12:00:00,SKU0082,2,373.86,20,klarna
ORD0000101,C001121,CH_ONLINE,web,2024-01-27 21:00:00,SKU0040,4,340.49,0,sepa
ORD0000102,C002677,CH_ONLINE,instagram,2024-04-29 21:00:00,SKU0026,2,185.61,20,klarna
ORD0000103,C002106,AT_ONLINE,app,2024-08-19 05:00:00,SKU0015,4,267.77,0,paypal
ORD0000104,C003256,CH_ONLINE,app,2024-03-02 15:00:00,SKU0051,1,378.3,10,sepa
ORD0000105,C002148,CH_ONLINE,instagram,2024-09-10 14:00:00,SKU0014,2,66.18,15,credit_card
ORD0000106,C004998,DE_ONLINE,web,2024-11-12 22:00:00,SKU0090,3,311.68,15,credit_card
ORD0000107,C004036,DE_ONLINE,web,2024-06-09 06:00:00,SKU0069,2,74.19,15,apple_pay
ORD0000108,C004426,AT_ONLINE,google,2024-04-15 11:00:00,SKU0054,1,188.65,15,sepa
ORD0000109,,AT_ONLINE,mobile,2024-10-29 16:00:00,SKU0057,2,207.02,10,credit_card
ORD0000110,C002939,DE_ONLINE,instagram,2024-07-07 08:00:00,SKU0025,1,490.56,15,credit_card
ORD0000111,C000175,DE_ONLINE,app,2024-06-15 06:00:00,SKU0017,5,333.07,5,credit_card
ORD0000112,C001909,AT_ONLINE,mobile,2024-01-02 22:00:00,SKU0036,2,415.76,5,sepa
ORD0000113,C000212,DE_ONLINE,web,2024-09-01 13:00:00,SKU0031,5,129.07,10,credit_card
ORD0000114,C004310,DE_ONLINE,web,2024-11-21 02:00:00,SKU0058,3,91.25,20,sepa
ORD0000115,C000356,CH_ONLINE,google,2024-07-24 21:00:00,SKU0059,1,58.98,0,apple_pay
ORD0000116,C003634,DE_ONLINE,web,2024-08-07 21:00:00,SKU0078,2,424.41,0,paypal
ORD0000117,C002664,AT_ONLINE,google,2024-12-28 04:00:00,SKU0038,4,141.13,20,sepa
ORD0000118,C004517,CH_ONLINE,mobile,2024-10-20 14:00:00,SKU0058,2,217.95,15,klarna
ORD0000119,C002561,AT_ONLINE,app,2024-06-23 00:00:00,SKU0048,2,414.57,15,credit_card
ORD0000120,C003053,DE_ONLINE,google,2024-02-10 22:00:00,SKU0076,5,50.16,20,klarna
ORD0000121,C003465,CH_ONLINE,web,2024-07-15 08:00:00,SKU0077,3,336.66,10,credit_card
ORD0000122,C001838,DE_ONLINE,app,2024-09-07 22:00:00,SKU0015,3,291.07,20,paypal
ORD0000123,C004561,DE_ONLINE,google,2024-07-01 13:00:00,SKU0004,2,404.57,10,klarna
ORD0000124,C001174,CH_ONLINE,instagram,2024-02-17 12:00:00,SKU0019,1,461.16,0,sepa
ORD0000125,C003032,AT_ONLINE,app,2024-02-27 23:00:00,SKU0007,2,111.49,5,sepa
ORD0000126,C003474,AT_ONLINE,google,2024-10-28 18:00:00,SKU0054,3,29.63,5,sepa
ORD0000127,C004859,AT_ONLINE,google,2024-07-29 13:00:00,SKU0006,2,61.34,15,sepa
ORD0000128,C001125,AT_ONLINE,app,2024-08-11 23:00:00,SKU0016,1,32.12,15,apple_pay
ORD0000129,C004099,CH_ONLINE,app,2024-02-19 04:00:00,SKU0051,1,91.97,15,credit_card
ORD0000130,C003517,CH_ONLINE,instagram,2024-10-12 03:00:00,SKU0038,1,232.58,15,credit_card
ORD0000131,C003770,CH_ONLINE,app,2024-03-01 03:00:00,SKU0056,1,483.27,5,apple_pay
ORD0000132,C002542,CH_ONLINE,app,2024-05-31 06:00:00,SKU0043,2,296.49,0,sepa
ORD0000133,C002863,AT_ONLINE,mobile,2024-06-10 07:00:00,SKU0014,2,318.45,10,paypal
ORD0000134,C000618,DE_ONLINE,instagram,2024-11-12 17:00:00,SKU0097,5,90.88,20,apple_pay
ORD0000135,C002648,CH_ONLINE,app,2024-04-13 01:00:00,SKU0057,1,342.16,15,apple_pay
ORD0000136,C002884,CH_ONLINE,web,2024-07-30 21:00:00,SKU0060,4,317.54,0,credit_card
ORD0000137,C000740,CH_ONLINE,google,2024-12-12 03:00:00,SKU0050,4,187.53,20,sepa
ORD0000138,,CH_ONLINE,mobile,2024-08-07 11:00:00,SKU0078,4,477.34,20,paypal
ORD0000139,C002814,CH_ONLINE,web,2024-12-10 10:00:00,SKU0083,2,479.07,0,paypal
ORD0000140,C004996,DE_ONLINE,app,2024-09-11 12:00:00,SKU0037,4,355.27,15,klarna
ORD0000141,C002742,DE_ONLINE,app,2024-03-05 12:00:00,SKU0072,4,341.05,10,klarna
ORD0000142,C001232,AT_ONLINE,web,2024-04-06 13:00:00,SKU0045,3,363.25,15,paypal
ORD0000143,C003086,CH_ONLINE,app,2024-03-28 05:00:00,SKU0086,5,299.55,0,apple_pay
ORD0000144,C001755,AT_ONLINE,instagram,2024-05-11 01:00:00,SKU0029,2,-256.7,5,credit_card
ORD0000145,C004422,CH_ONLINE,google,2024-01-26 18:00:00,SKU0085,3,151.42,20,paypal
ORD0000146,C001357,CH_ONLINE,instagram,2024-01-30 19:00:00,SKU0053,3,300.64,5,apple_pay
ORD0000147,C001917,CH_ONLINE,mobile,2024-07-30 06:00:00,SKU0061,2,307.24,10,sepa
ORD0000148,C003129,CH_ONLINE,google,2024-10-12 19:00:00,SKU0021,2,492.3,20,paypal
ORD0000149,C003041,CH_ONLINE,web,2024-12-18 04:00:00,SKU0016,3,437.14,0,paypal
ORD0000150,C003584,DE_ONLINE,mobile,2024-11-03 23:00:00,SKU0045,1,140.03,15,credit_card
ORD0000151,C000669,AT_ONLINE,mobile,2024-01-20 05:00:00,SKU0041,1,201.24,10,paypal
ORD0000152,C001137,CH_ONLINE,instagram,2024-11-02 05:00:00,SKU0079,1,73.11,0,credit_card
ORD0000153,C004988,CH_ONLINE,instagram,2024-03-16 21:00:00,SKU0037,2,131.68,10,credit_card
ORD0000154,C003745,DE_ONLINE,web,2024-12-07 05:00:00,SKU0077,5,28.64,0,sepa
ORD0000155,C000013,CH_ONLINE,app,2024-06-13 05:00:00,SKU0074,4,289.65,5,credit_card
ORD0000156,C004458,CH_ONLINE,google,2024-01-14 21:00:00,SKU0050,4,264.12,0,apple_pay
ORD0000157,,DE_ONLINE,app,2024-06-13 14:00:00,SKU0094,1,490.61,20,klarna
ORD0000158,C001435,CH_ONLINE,instagram,2024-11-22 16:00:00,SKU0081,2,71.04,5,credit_card
ORD0000159,,DE_ONLINE,web,2024-05-16 04:00:00,SKU0006,3,359.44,10,sepa
ORD0000160,C000300,CH_ONLINE,mobile,2024-07-14 07:00:00,SKU0046,1,202.12,10,klarna
ORD0000161,C003603,AT_ONLINE,app,2024-05-07 12:00:00,SKU0064,4,66.62,10,sepa
ORD0000162,C003528,CH_ONLINE,mobile,2024-07-19 13:00:00,SKU0042,1,137.03,0,klarna
ORD0000163,C003491,DE_ONLINE,instagram,2024-08-27 23:00:00,SKU0058,1,332.16,10,sepa
ORD0000164,C000470,DE_ONLINE,instagram,2024-09-05 00:00:00,SKU0066,2,499.08,0,paypal
ORD0000165,C001035,DE_ONLINE,mobile,2024-09-07 01:00:00,SKU0047,4,425.09,20,credit_card
ORD0000166,C003048,AT_ONLINE,web,2024-04-03 23:00:00,SKU0068,3,304.52,15,klarna
ORD0000167,C001525,AT_ONLINE,google,2024-09-21 04:00:00,SKU0072,1,326.53,10,klarna
ORD0000168,C004024,DE_ONLINE,web,2024-04-02 15:00:00,SKU0010,4,353.5,5,apple_pay
ORD0000169,C002619,CH_ONLINE,app,2024-02-14 07:00:00,SKU0071,5,498.64,10,klarna
ORD0000170,C001427,AT_ONLINE,google,2024-06-02 01:00:00,SKU0016,2,426.42,5,paypal
ORD0000171,C003023,AT_ONLINE,google,2024-03-29 14:00:00,SKU0079,1,-396.23,0,klarna
ORD0000172,C003366,AT_ONLINE,google,2024-02-20 08:00:00,SKU0017,3,202.09,0,apple_pay
ORD0000173,C004517,CH_ONLINE,google,2024-05-04 05:00:00,SKU0099,2,235.59,15,sepa
ORD0000174,C001254,AT_ONLINE,mobile,2024-04-20 13:00:00,SKU0042,2,455.8,10,sepa
ORD0000175,C004513,AT_ONLINE,mobile,2024-07-25 17:00:00,SKU0079,5,447.99,0,sepa
ORD0000176,C001403,CH_ONLINE,google,2024-08-18 11:00:00,SKU0073,1,322.29,0,credit_card
ORD0000177,C001727,CH_ONLINE,instagram,2024-01-21 16:00:00,SKU0064,5,27.5,10,klarna
ORD0000178,C002437,AT_ONLINE,web,2024-02-10 21:00:00,SKU0021,4,244.06,15,apple_pay
ORD0000179,C002616,CH_ONLINE,app,2024-09-29 04:00:00,SKU0017,3,234.9,20,sepa
ORD0000180,C003684,DE_ONLINE,mobile,2024-03-07 02:00:00,SKU0007,3,57.56,15,sepa
ORD0000181,C002683,CH_ONLINE,app,2024-05-09 14:00:00,SKU0098,2,211.98,15,sepa
ORD0000182,C000738,AT_ONLINE,google,2024-11-08 03:00:00,SKU0031,2,236.07,20,klarna
ORD0000183,C003856,AT_ONLINE,google,2024-01-06 13:00:00,SKU0014,4,29.09,5,klarna
ORD0000184,C003282,DE_ONLINE,google,2024-05-12 21:00:00,SKU0047,5,365.12,10,credit_card
ORD0000185,C000974,DE_ONLINE,web,2024-09-25 21:00:00,SKU0048,3,196.24,20,klarna
ORD0000186,C004097,DE_ONLINE,web,2024-01-27 13:00:00,SKU0018,3,378.71,15,sepa
ORD0000187,C002687,CH_ONLINE,app,2024-04-20 22:00:00,SKU0051,5,231.21,10,sepa
ORD0000188,C004612,AT_ONLINE,instagram,2024-01-12 08:00:00,SKU0048,3,171.5,0,apple_pay
ORD0000189,C000219,CH_ONLINE,instagram,2024-06-30 06:00:00,SKU0084,5,293.93,20,paypal
ORD0000190,C003115,DE_ONLINE,mobile,2024-01-22 13:00:00,SKU0074,1,362.09,5,credit_card
ORD0000191,C001671,AT_ONLINE,google,2024-11-17 22:00:00,SKU0095,1,223.31,5,sepa
ORD0000192,C004305,AT_ONLINE,app,2024-04-28 05:00:00,SKU0059,5,107.63,10,sepa
ORD0000193,C002166,CH_ONLINE,instagram,2024-05-11 06:00:00,SKU0032,3,180.37,20,klarna
ORD0000194,C002368,CH_ONLINE,mobile,2024-11-29 19:00:00,SKU0041,4,116.31,10,sepa
ORD0000195,C000999,CH_ONLINE,google,2024-09-16 04:00:00,SKU0051,3,467.18,5,klarna
ORD0000196,C003624,CH_ONLINE,app,2024-11-23 01:00:00,SKU0028,2,25.82,20,klarna
ORD0000197,C004808,DE_ONLINE,mobile,2024-02-04 15:00:00,SKU0086,5,466.85,5,paypal
ORD0000198,C000824,CH_ONLINE,mobile,2024-01-04 12:00:00,SKU0071,2,30.98,15,apple_pay
ORD0000199,C002632,AT_ONLINE,web,2024-03-02 01:00:00,SKU0084,5,241.34,5,sepa
ORD0000200,,DE_ONLINE,instagram,2024-04-30 00:00:00,SKU0005,4,370.65,15,paypal
ORD0000201,C000307,DE_ONLINE,app,2024-03-14 06:00:00,SKU0043,3,468.62,15,sepa
ORD0000202,C004131,AT_ONLINE,app,2024-05-11 15:00:00,SKU0015,3,264.54,5,apple_pay
ORD0000203,,AT_ONLINE,app,2024-05-11 20:00:00,SKU0023,5,325.9,15,apple_pay
ORD0000204,C001514,DE_ONLINE,instagram,2024-08-08 21:00:00,SKU0032,1,260.06,10,apple_pay
ORD0000205,C002474,CH_ONLINE,google,2024-01-08 19:00:00,SKU0034,3,121.58,5,credit_card
ORD0000206,C004117,CH_ONLINE,app,2024-03-21 03:00:00,SKU0082,3,335.55,10,sepa
ORD0000207,C003728,CH_ONLINE,google,2024-09-12 01:00:00,SKU0054,5,114.32,15,sepa
ORD0000208,C004881,DE_ONLINE,google,2024-10-31 23:00:00,SKU0068,3,401.99,0,sepa
ORD0000209,C001657,CH_ONLINE,google,2024-04-12 07:00:00,SKU0022,3,60.54,20,apple_pay
ORD0000210,C000745,CH_ONLINE,instagram,2024-02-07 23:00:00,SKU0059,2,62.54,20,apple_pay
ORD0000211,C002525,CH_ONLINE,web,2024-09-27 07:00:00,SKU0033,1,231.12,5,sepa
ORD0000212,C004434,DE_ONLINE,web,2024-11-18 06:00:00,SKU0005,3,41.15,15,paypal
ORD0000213,C003444,AT_ONLINE,instagram,2024-11-02 04:00:00,SKU0049,4,385.64,0,sepa
ORD0000214,C004402,AT_ONLINE,google,2024-03-27 22:00:00,SKU0094,2,70.83,0,credit_card
ORD0000215,C003475,CH_ONLINE,instagram,2024-06-05 18:00:00,SKU0032,4,489.35,10,paypal
ORD0000216,C000925,DE_ONLINE,instagram,2024-01-11 16:00:00,SKU0031,2,141.45,0,credit_card
ORD0000217,C000399,DE_ONLINE,web,2024-10-01 14:00:00,SKU0057,2,299.0,20,paypal
ORD0000218,C002370,DE_ONLINE,google,2024-08-05 16:00:00,SKU0074,5,378.42,10,paypal
ORD0000219,C001811,AT_ONLINE,app,2024-07-06 20:00:00,SKU0008,5,154.37,20,paypal
ORD0000220,C002822,CH_ONLINE,instagram,2024-12-24 00:00:00,SKU0041,4,314.87,15,paypal
ORD0000221,C001975,DE_ONLINE,app,2024-04-08 13:00:00,SKU0060,1,153.44,20,apple_pay
ORD0000222,C001990,AT_ONLINE,mobile,2024-08-13 11:00:00,SKU0083,1,484.05,15,klarna
ORD0000223,C002200,AT_ONLINE,google,2024-01-27 23:00:00,SKU0010,2,50.77,20,sepa
ORD0000224,C002484,DE_ONLINE,mobile,2024-05-09 17:00:00,SKU0095,1,112.42,15,paypal
ORD0000225,C001961,CH_ONLINE,app,2024-07-12 05:00:00,SKU0049,4,349.34,20,klarna
ORD0000226,C003818,DE_ONLINE,instagram,2024-08-06 14:00:00,SKU0027,3,157.67,10,apple_pay
ORD0000227,C000133,AT_ONLINE,google,2024-10-12 01:00:00,SKU0038,2,27.63,5,klarna
ORD0000228,C004511,CH_ONLINE,app,2024-06-24 16:00:00,SKU0098,4,118.86,15,apple_pay
ORD0000229,C004478,AT_ONLINE,mobile,2024-02-10 02:00:00,SKU0068,1,88.28,0,credit_card
ORD0000230,C001896,DE_ONLINE,mobile,2024-01-07 05:00:00,SKU0028,5,383.35,15,klarna
ORD0000231,C003959,CH_ONLINE,instagram,2024-01-11 17:00:00,SKU0001,5,34.92,20,apple_pay
ORD0000232,C002349,DE_ONLINE,google,2024-10-20 22:00:00,SKU0023,1,10.87,0,sepa
ORD0000233,C002904,AT_ONLINE,instagram,2024-02-23 22:00:00,SKU0048,4,78.7,15,sepa
ORD0000234,C000661,CH_ONLINE,web,2024-03-04 19:00:00,SKU0052,4,125.39,15,sepa
ORD0000235,C000678,AT_ONLINE,instagram,2024-08-14 03:00:00,SKU0073,1,240.62,20,credit_card
ORD0000236,C004644,AT_ONLINE,app,2024-02-01 18:00:00,SKU0010,3,118.73,20,sepa
ORD0000237,C000129,DE_ONLINE,google,2024-04-08 10:00:00,SKU0097,4,330.76,0,klarna
ORD0000238,C003188,CH_ONLINE,google,2024-08-14 11:00:00,SKU0050,2,85.41,0,sepa
ORD0000239,C001902,DE_ONLINE,app,2024-09-27 19:00:00,SKU0042,1,374.0,10,apple_pay
ORD0000240,C003538,DE_ONLINE,google,2024-09-16 11:00:00,SKU0011,5,247.85,10,paypal
ORD0000241,C001264,CH_ONLINE,instagram,2024-08-04 04:00:00,SKU0047,1,357.99,0,credit_card
ORD0000242,C000838,DE_ONLINE,web,2024-05-07 22:00:00,SKU0056,4,471.77,20,sepa
ORD0000243,C004541,DE_ONLINE,google,2024-08-09 11:00:00,SKU0050,1,258.66,10,apple_pay
ORD0000244,C001989,CH_ONLINE,google,2024-04-25 18:00:00,SKU0088,4,196.96,5,paypal
ORD0000245,C001370,AT_ONLINE,app,2024-10-14 11:00:00,SKU0039,4,138.11,0,klarna
ORD0000246,C004865,CH_ONLINE,mobile,2024-11-08 13:00:00,SKU0014,2,129.59,10,credit_card
ORD0000247,C002700,AT_ONLINE,app,2024-10-20 23:00:00,SKU0084,5,474.67,5,klarna
ORD0000248,C002574,DE_ONLINE,instagram,2024-08-05 20:00:00,SKU0038,4,163.73,20,paypal
ORD0000249,C002991,DE_ONLINE,google,2024-05-16 09:00:00,SKU0076,5,166.31,5,sepa
ORD0000250,C001718,AT_ONLINE,app,2024-02-17 05:00:00,SKU0053,4,18.32,5,klarna
ORD0000251,C003089,DE_ONLINE,instagram,2024-11-23 03:00:00,SKU0075,4,124.8,20,sepa
ORD0000252,C000302,AT_ONLINE,google,2024-02-28 00:00:00,SKU0014,2,462.13,10,paypal
ORD0000253,C003274,AT_ONLINE,instagram,2024-03-13 07:00:00,SKU0002,1,325.26,10,paypal
ORD0000254,C004713,DE_ONLINE,instagram,2024-09-12 09:00:00,SKU0051,4,257.78,20,sepa
ORD0000255,C002421,AT_ONLINE,web,2024-03-20 05:00:00,SKU0094,2,79.62,10,klarna
ORD0000256,C002854,AT_ONLINE,web,2024-10-26 02:00:00,SKU0093,4,174.82,10,credit_card
